actor,nepo,n_films,won_national,won_filmfare
Tania Zaetta,False,3,False,False
Ali Haji,False,3,False,False
Vishwajeet Pradhan,False,3,False,False
Apoorva Arora,False,3,False,False
Pramod Moutho,False,3,False,False
Saloni Batra,False,3,False,False
Ranjeet,False,3,False,False
Sheetal Thakur,False,3,False,False
Vikas Verma,False,3,False,False
Sadiya Siddiqui,False,3,False,False
Achint Kaur,False,3,False,False
Rukhsar Rehman,False,3,False,False
Tej Sapru,False,3,False,False
Manoj Bakshi,False,3,False,False
Urvashi Sharma,False,3,False,True
Suraj Sharma,False,3,False,False
Fawad Khan,False,3,False,True
Shatrughan Sinha,False,3,False,True
Niharica Raizada,False,3,False,False
Imaad Shah,False,3,False,False
Shweta Bhardwaj,False,3,False,False
Sridevi,False,3,False,True
Atul Agnihotri,False,3,False,False
Roshan Mathew,False,3,False,False
Mahesh Thakur,False,3,False,False
Neetu Singh,False,3,False,True
Razzak Khan,False,3,False,False
Kusha Kapila,False,3,False,False
Hazel Crowney,False,3,False,False
Rani Mukherjee,False,3,False,False
Girish Karnad,False,3,False,True
Priya Banerjee,False,3,False,False
Ekavali Khanna,False,3,False,False
Karishma Tanna,False,3,False,False
