year,movie,nepo,gross_cr,rating,votes,log10_votes,log10_gross
2019,Rangeela Raja,no,0.18,1.9,310,2.493,0.072
2001,Grahan,no,1.43,5.3,139,2.146,0.386
2008,Woodstock Villa,yes,20.0,3.5,455,2.659,1.322
2016,Sanam Teri Kasam,no,16.03,7.6,23013,4.362,1.231
2006,Anthony Kaun Hai?,yes,17.21,5.1,736,2.867,1.26
2008,Rab Ne Bana Di Jodi,yes,157.0,7.2,59643,4.776,2.199
2010,Band Baaja Baaraat,no,96.0,7.2,19698,4.294,1.987
2012,Jab Tak Hai Jaan,no,235.0,6.7,62763,4.798,2.373
2013,Matru Ki Bijlee Ka Mandola,yes,31.15,5.6,6518,3.814,1.507
2015,Bombay Velvet,yes,43.13,5.5,6793,3.832,1.645
2015,NH10,no,49.0,7.2,14954,4.175,1.699
2017,Jab Harry Met Sejal,no,153.43,5.1,24264,4.385,2.189
2017,Phillauri,no,46.6,6.1,4310,3.635,1.678
2018,Pari,no,41.4,6.6,7977,3.902,1.627
2013,Horror Story,no,7.0,4.3,2461,3.391,0.903
2018,Stree,no,180.76,7.5,47923,4.681,2.259
2019,Luka Chuppi,no,128.6,6.4,15600,4.193,2.113
2020,Street Dancer 3D,yes,97.0,3.8,8753,3.942,1.991
2022,Dhokha: Round D Corner,no,3.74,6.2,12702,4.104,0.676
2002,Maa Tujhhe Salaam,yes,22.84,3.8,1459,3.164,1.377
2002,Tumko Na Bhool Paayenge,yes,19.89,5.7,3721,3.571,1.32
2005,Maine Pyaar Kyun Kiya?,yes,47.22,5.6,6525,3.815,1.683
2005,Taj Mahal: An Eternal Love Story,yes,31.1,5.0,269,2.431,1.507
2006,Malamaal Weekly,yes,42.76,7.1,9201,3.964,1.641
2007,Dhol,yes,33.27,6.6,9303,3.969,1.535
2008,Fashion,yes,39.29,6.9,13715,4.137,1.605
2008,Jaane Tu... Ya Jaane Na,yes,84.0,7.4,29506,4.47,1.929
2009,Kisaan,yes,5.76,5.5,357,2.554,0.83
2012,Dabangg 2,yes,255.0,4.8,21895,4.34,2.408
2017,Tera Intezaar,yes,0.95,1.7,375,2.575,0.29
2019,Dabangg 3,yes,230.93,3.0,23120,4.364,2.365
2015,Kis Kisko Pyaar Karoon,no,71.6,5.6,7087,3.851,1.861
2004,Aabra Ka Daabra,no,1.06,2.7,455,2.659,0.314
2014,Fugly,yes,13.6,4.7,1216,3.085,1.164
2004,Asambhav,no,5.16,3.8,697,2.844,0.79
2004,Netaji Subhas Chandra Bose: The Forgotten Hero,no,1.25,7.6,1453,3.163,0.352
2010,My Name Is Khan,yes,220.3,7.9,123289,5.091,2.345
2014,Darr @ the Mall,no,7.8,4.9,1151,3.061,0.944
2016,Direct Ishq,no,0.56,4.7,99,2.0,0.193
2013,Aurangzeb,yes,35.41,6.4,4614,3.664,1.561
2014,Gunday,yes,130.91,2.8,61354,4.788,2.12
2015,Tevar,yes,56.0,4.2,3585,3.555,1.756
2017,Half Girlfriend,yes,97.7,4.7,8682,3.939,1.994
2019,India's Most Wanted,yes,16.74,4.7,2486,3.396,1.249
2019,Panipat,yes,49.29,5.3,6439,3.809,1.701
2021,Sandeep Aur Pinky Faraar,yes,0.58,6.3,9291,3.968,0.199
2022,Ek Villain Returns,yes,68.64,4.4,17142,4.234,1.843
2023,Kuttey,yes,4.65,5.4,11498,4.061,0.752
2023,The Lady Killer,yes,0.01,1.8,1493,3.174,0.004
2011,My Friend Pinto,yes,1.8,5.3,426,2.63,0.447
2013,Ankur Arora Murder Case,no,10.0,6.5,2383,3.377,1.041
2015,Waiting,no,3.5,7.2,1955,3.291,0.653
2001,Deewaanapan,no,10.0,4.7,538,2.732,1.041
2006,I See You,yes,1.92,4.4,1271,3.104,0.465
2007,Om Shanti Om,no,152.0,6.8,56456,4.752,2.185
2008,Rock On!!,no,36.0,7.7,23517,4.371,1.568
2011,Ra.One,yes,207.0,5.0,51985,4.716,2.318
2013,D Day,yes,24.0,7.2,10778,4.033,1.398
2013,Inkaar,no,10.02,6.1,2792,3.446,1.042
2015,Roy,yes,56.0,3.2,8234,3.916,1.756
2016,Rock On 2,no,15.7,4.9,2401,3.381,1.223
2022,Dhaakad,no,3.77,3.8,12275,4.089,0.679
2017,Shab,no,32.0,4.3,264,2.423,1.519
2003,Munna Bhai M.B.B.S.,yes,36.29,8.2,98233,4.992,1.572
2005,Sehar,no,2.4,7.7,2622,3.419,0.531
2006,Lage Raho Munna Bhai,yes,126.2,8.0,53469,4.728,2.104
2007,Goal,no,21.72,5.4,579,2.763,1.356
2008,Krazzy 4,no,32.27,4.3,2548,3.406,1.522
2010,Hum Tum Aur Ghost,no,8.01,4.9,770,2.887,0.955
2010,Ishqiya,no,31.81,7.3,11437,4.058,1.516
2014,Dedh Ishqiya,no,40.8,7.0,7756,3.89,1.621
2017,Irada,no,1.1,6.3,1614,3.208,0.322
2016,Mirzya,yes,13.5,4.6,1969,3.294,1.161
2024,Article 370,no,110.57,7.8,28392,4.453,2.048
2011,Yeh Saali Zindagi,no,10.75,7.4,4856,3.686,1.07
